gene1306	K01959
gene1307	K01960
gene1308	K01961
gene1309	K01962
gene1310	K01963
gene1311	K01965
gene1312	K01966
gene1313	K01968
gene1314	K01969
gene1315	K01971
gene1316	K01972
gene1317	K01973
gene1318	K01974
gene1319	K01975
gene1320	K01976
gene1321	K01989
gene1322	K01990
gene1323	K01991
gene1324	K01992
gene1325	K01993
gene1326	K01994
gene1327	K01995
gene1328	K01996
gene1329	K01997
gene1330	K01998
gene1331	K01999
gene1332	K02000
gene1333	K02001
gene1334	K02002
gene1335	K02003
gene1336	K02004
gene1337	K02005
gene1338	K02006
gene1339	K02007
gene1340	K02008
gene1341	K02009
gene1342	K02010
gene1343	K02011
gene1344	K02012
gene1345	K02013
gene1346	K02014
gene1347	K02015
gene1348	K02016
gene1349	K02017
gene1350	K02018
gene1351	K02019
gene1352	K02020
gene1353	K02021
gene1354	K02022
gene1355	K02023
gene1356	K02024
gene1357	K02025
gene1358	K02026
gene1359	K02027
gene1360	K02028
gene1361	K02029
gene1362	K02030
gene1363	K02031
gene1364	K02032
gene1365	K02033
gene1366	K02034
gene1367	K02035
gene1368	K02036
gene1369	K02037
gene1370	K02038
gene1371	K02039
gene1372	K02040
gene1373	K02041
gene1374	K02042
gene1375	K02043
gene1376	K02044
gene1377	K02045
gene1378	K02046
gene1379	K02047
gene1380	K02048
gene1381	K02049
gene1382	K02050
gene1383	K02051
gene1384	K02052
gene1385	K02053
gene1386	K02054
gene1387	K02055
gene1388	K02056
gene1389	K02057
gene1390	K02058
gene1391	K02059
gene1392	K02062
gene1393	K02063
gene1394	K02064
gene1395	K02065
gene1396	K02066
gene1397	K02067
gene1398	K02068
gene1399	K02069
gene1400	K02071
gene1401	K02072
gene1402	K02073
gene1403	K02074
gene1404	K02075
gene1405	K02076
gene1406	K02077
gene1407	K02078
gene1408	K02079
gene1409	K02080
gene1410	K02081
gene1411	K02082
gene1412	K02083
gene1413	K02086
gene1414	K02099
gene1415	K02100
gene1416	K02103
gene1417	K02106
gene1418	K02108
gene1419	K02109
gene1420	K02110
gene1421	K02111
gene1422	K02112
gene1423	K02113
gene1424	K02114
gene1425	K02115
gene1426	K02116
gene1427	K02117
gene1428	K02118
gene1429	K02119
gene1430	K02120
gene1431	K02121
gene1432	K02122
gene1433	K02123
gene1434	K02124
gene1435	K02126
gene1436	K02160
gene1437	K02164
gene1438	K02167
gene1439	K02168
gene1440	K02169
gene1441	K02170
gene1442	K02172
gene1443	K02173
gene1444	K02182
gene1445	K02188
gene1446	K02189
gene1447	K02190
gene1448	K02191
gene1449	K02192
gene1450	K02193
gene1451	K02194
gene1452	K02195
gene1453	K02196
gene1454	K02197
gene1455	K02198
gene1456	K02199
gene1457	K02200
gene1458	K02201
gene1459	K02203
gene1460	K02204
gene1461	K02205
gene1462	K02217
gene1463	K02221
gene1464	K02224
gene1465	K02225
gene1466	K02226
gene1467	K02227
gene1468	K02228
gene1469	K02229
gene1470	K02230
gene1471	K02231
gene1472	K02232
gene1473	K02233
gene1474	K02234
gene1475	K02236
gene1476	K02237
gene1477	K02238
gene1478	K02240
gene1479	K02241
gene1480	K02242
gene1481	K02243
gene1482	K02244
gene1483	K02245
gene1484	K02246
gene1485	K02248
gene1486	K02250
gene1487	K02255
gene1488	K02256
gene1489	K02258
gene1490	K02259
gene1491	K02261
